Session: GSR_with_PCA,,,,,,,,,
Training Data: features_GSR_meme_table    Observations: 480,,,,,,,,,
"Predictors: 14    Predictor Names: max_gsr, min_gsr, mean_gsr, var_gsr, max_gsr_phas, min_gsr_phas, mean_gsr_phas, var_gsr_phas, rate_peaks_gsr, height_peaks_gsr, peaks_area_gsr, peaks_area_per_sec_gsr, peaks_rise_time, reg_coef_gsr",,,,,,,,,
"Response Name: misoginy    Response Classes: 2    Response Class Names: 1, 2",,,,,,,,,
Validation: 10-fold cross-validation,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Favorite,Model Number,Model Type,Status,Accuracy % (Validation),Total Cost (Validation),Preset,PCA,Costs,Optimizer Options
0,3.24,Ensemble,Trained,50.8333333333333,236,Bagged Trees,Disabled,Default,Not applicable
0,3.25,Ensemble,Trained,62.2916666666667,181,Custom Ensemble,Disabled,Default,Not applicable
0,3.26,Ensemble,Trained,50.625,237,Custom Ensemble,Disabled,Default,Not applicable
0,3.27,Ensemble,Trained,50.625,237,RUSBoosted Trees,Disabled,Default,Not applicable
0,3.28,Neural Network,Trained,62.0833333333333,182,Narrow Neural Network,Disabled,Default,Not applicable
0,3.29,Neural Network,Trained,62.5,180,Medium Neural Network,Disabled,Default,Not applicable
0,3.30,Neural Network,Trained,61.4583333333333,185,Wide Neural Network,Disabled,Default,Not applicable
0,3.31,Neural Network,Trained,61.25,186,Bilayered Neural Network,Disabled,Default,Not applicable
0,3.32,Neural Network,Trained,61.25,186,Trilayered Neural Network,Disabled,Default,Not applicable
0,3.33,Kernel,Trained,61.4583333333333,185,Custom Kernel,Disabled,Default,Not applicable
0,3.34,Kernel,Trained,61.4583333333333,185,Custom Kernel,Disabled,Default,Not applicable
